"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/19/2014 22:06:34:325 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""] / count patches"
"180","""PD""","0.19","0.5","1","0","""moore_r=3""","true","500","0.4936"
"179","""PD""","0.19","0.5","1","0","""moore_r=3""","true","500","0.4848"
"190","""PD""","0.21","0.5","1","0","""moore_r=1""","true","500","0.4968"
"191","""PD""","0.21","0.5","1","0","""moore_r=1""","true","500","0.4996"
"192","""PD""","0.21","0.5","1","0","""moore_r=1""","true","500","0.4884"
"193","""PD""","0.21","0.5","1","0","""von neumann_r=1""","true","500","0.5124"
"194","""PD""","0.21","0.5","1","0","""von neumann_r=1""","true","500","0.5068"
"195","""PD""","0.21","0.5","1","0","""von neumann_r=1""","true","500","0.52"
"187","""PD""","0.2","0.5","1","0","""moore_r=3""","true","500","0.4956"
"188","""PD""","0.2","0.5","1","0","""moore_r=3""","true","500","0.4956"
"189","""PD""","0.2","0.5","1","0","""moore_r=3""","true","500","0.4896"
"199","""PD""","0.22","0.5","1","0","""moore_r=1""","true","500","0.502"
"200","""PD""","0.22","0.5","1","0","""moore_r=1""","true","500","0.5072"
"201","""PD""","0.22","0.5","1","0","""moore_r=1""","true","500","0.5204"
"202","""PD""","0.22","0.5","1","0","""von neumann_r=1""","true","500","0.5072"
"203","""PD""","0.22","0.5","1","0","""von neumann_r=1""","true","500","0.5128"
"204","""PD""","0.22","0.5","1","0","""von neumann_r=1""","true","500","0.5032"
"198","""PD""","0.21","0.5","1","0","""moore_r=3""","true","500","0.4884"
"196","""PD""","0.21","0.5","1","0","""moore_r=3""","true","500","0.514"
"197","""PD""","0.21","0.5","1","0","""moore_r=3""","true","500","0.4896"
"208","""PD""","0.23","0.5","1","0","""moore_r=1""","true","500","0.5024"
"209","""PD""","0.23","0.5","1","0","""moore_r=1""","true","500","0.5176"
"210","""PD""","0.23","0.5","1","0","""moore_r=1""","true","500","0.5132"
"211","""PD""","0.23","0.5","1","0","""von neumann_r=1""","true","500","0.5184"
"212","""PD""","0.23","0.5","1","0","""von neumann_r=1""","true","500","0.488"
"213","""PD""","0.23","0.5","1","0","""von neumann_r=1""","true","500","0.5116"
"205","""PD""","0.22","0.5","1","0","""moore_r=3""","true","500","0.5096"
"206","""PD""","0.22","0.5","1","0","""moore_r=3""","true","500","0.502"
"207","""PD""","0.22","0.5","1","0","""moore_r=3""","true","500","0.52"
"217","""PD""","0.24","0.5","1","0","""moore_r=1""","true","500","0.4848"
"218","""PD""","0.24","0.5","1","0","""moore_r=1""","true","500","0.5128"
"219","""PD""","0.24","0.5","1","0","""moore_r=1""","true","500","0.492"
"220","""PD""","0.24","0.5","1","0","""von neumann_r=1""","true","500","0.5184"
"214","""PD""","0.23","0.5","1","0","""moore_r=3""","true","500","0.5004"
"221","""PD""","0.24","0.5","1","0","""von neumann_r=1""","true","500","0.502"
"215","""PD""","0.23","0.5","1","0","""moore_r=3""","true","500","0.5"
"222","""PD""","0.24","0.5","1","0","""von neumann_r=1""","true","500","0.52"
