"BehaviorSpace results (NetLogo 5.1.0)"
"task2.nlogo"
"PD HD neighborhood cost"
"12/17/2014 23:21:36:759 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","[step]","count patches with [strategy_current = ""C""]"
"152","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","673"
"153","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","472"
"154","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","703"
"155","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","688"
"156","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","499"
"158","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","544"
"157","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","675"
"159","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","703"
"160","""PD""","0.15","0.01","1","0","""moore_r=1""","true","1000","462"
"161","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","1000","5"
"149","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","214"
"162","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","1000","12"
"163","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","1000","15"
"164","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","1000","47"
"150","""PD""","0.14","0.01","1","0","""moore_r=3""","true","1000","182"
"166","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","824","0"
"165","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","1000","2"
"167","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","862","0"
"168","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","752","0"
"169","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","1000","11"
"170","""PD""","0.15","0.01","1","0","""von neumann_r=1""","true","1000","17"
"171","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","176"
"172","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","78"
"173","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","52"
"174","""PD""","0.15","0.01","1","0","""moore_r=3""","true","980","0"
"175","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","41"
"176","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","49"
"177","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","36"
"178","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","36"
"181","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","270"
"182","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","122"
"183","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","356"
"185","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","222"
"184","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","353"
"186","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","421"
"187","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","217"
"188","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","389"
"189","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","519"
"190","""PD""","0.16","0.01","1","0","""moore_r=1""","true","1000","384"
"179","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","39"
"191","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","704","0"
"192","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","822","0"
"193","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","1000","28"
"195","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","1000","98"
"194","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","873","0"
"196","""PD""","0.16","0.01","1","0","""von neumann_r=1""","true","915","0"
"180","""PD""","0.15","0.01","1","0","""moore_r=3""","true","1000","64"
