"X.run.number.","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","X.step.","count.patches.with..strategy_current....C..","r","freq_c"
"2860",2863,"\"HD\"",0.24,0.01,1,0,"\"von neumann_r=1\"","true",1000,2496,0.315789473684211,0.9984
"2861",2862,"\"HD\"",0.24,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.315789473684211,0.9992
"2863",2849,"\"HD\"",0.23,0.01,1,0,"\"moore_r=3\"","true",1000,2036,0.298701298701299,0.8144
"2864",2850,"\"HD\"",0.23,0.01,1,0,"\"moore_r=3\"","true",1000,2040,0.298701298701299,0.816
"2865",2865,"\"HD\"",0.24,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.315789473684211,0.9996
"2866",2866,"\"HD\"",0.24,0.01,1,0,"\"von neumann_r=1\"","true",1000,2494,0.315789473684211,0.9976
"2867",2867,"\"HD\"",0.24,0.01,1,0,"\"von neumann_r=1\"","true",1000,2497,0.315789473684211,0.9988
"2868",2868,"\"HD\"",0.24,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.315789473684211,0.9992
"2869",2869,"\"HD\"",0.24,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.315789473684211,0.9992
"2870",2870,"\"HD\"",0.24,0.01,1,0,"\"von neumann_r=1\"","true",1000,2497,0.315789473684211,0.9988
"2891",2893,"\"HD\"",0.25,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.333333333333333,0.9992
"2892",2879,"\"HD\"",0.24,0.01,1,0,"\"moore_r=3\"","true",1000,2026,0.315789473684211,0.8104
"2893",2880,"\"HD\"",0.24,0.01,1,0,"\"moore_r=3\"","true",1000,2020,0.315789473684211,0.808
"2894",2894,"\"HD\"",0.25,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.333333333333333,0.9992
"2895",2895,"\"HD\"",0.25,0.01,1,0,"\"von neumann_r=1\"","true",1000,2497,0.333333333333333,0.9988
"2896",2897,"\"HD\"",0.25,0.01,1,0,"\"von neumann_r=1\"","true",1000,2492,0.333333333333333,0.9968
"2897",2896,"\"HD\"",0.25,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.333333333333333,0.9996
"2898",2898,"\"HD\"",0.25,0.01,1,0,"\"von neumann_r=1\"","true",1000,2496,0.333333333333333,0.9984
"2899",2899,"\"HD\"",0.25,0.01,1,0,"\"von neumann_r=1\"","true",1000,2494,0.333333333333333,0.9976
"2900",2900,"\"HD\"",0.25,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.333333333333333,0.9992
"2921",2909,"\"HD\"",0.25,0.01,1,0,"\"moore_r=3\"","true",1000,2009,0.333333333333333,0.8036
"2922",2923,"\"HD\"",0.26,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.351351351351351,0.9992
"2923",2924,"\"HD\"",0.26,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.351351351351351,0.9992
"2924",2910,"\"HD\"",0.25,0.01,1,0,"\"moore_r=3\"","true",1000,2017,0.333333333333333,0.8068
"2925",2925,"\"HD\"",0.26,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.351351351351351,0.9996
"2926",2928,"\"HD\"",0.26,0.01,1,0,"\"von neumann_r=1\"","true",1000,2489,0.351351351351351,0.9956
"2927",2927,"\"HD\"",0.26,0.01,1,0,"\"von neumann_r=1\"","true",1000,2497,0.351351351351351,0.9988
"2928",2926,"\"HD\"",0.26,0.01,1,0,"\"von neumann_r=1\"","true",1000,2495,0.351351351351351,0.998
"2929",2929,"\"HD\"",0.26,0.01,1,0,"\"von neumann_r=1\"","true",1000,2491,0.351351351351351,0.9964
"2930",2930,"\"HD\"",0.26,0.01,1,0,"\"von neumann_r=1\"","true",1000,2495,0.351351351351351,0.998
"2951",2954,"\"HD\"",0.27,0.01,1,0,"\"von neumann_r=1\"","true",1000,2484,0.36986301369863,0.9936
"2952",2953,"\"HD\"",0.27,0.01,1,0,"\"von neumann_r=1\"","true",1000,2486,0.36986301369863,0.9944
"2953",2940,"\"HD\"",0.26,0.01,1,0,"\"moore_r=3\"","true",1000,1983,0.351351351351351,0.7932
"2954",2939,"\"HD\"",0.26,0.01,1,0,"\"moore_r=3\"","true",1000,1998,0.351351351351351,0.7992
"2955",2955,"\"HD\"",0.27,0.01,1,0,"\"von neumann_r=1\"","true",1000,2497,0.36986301369863,0.9988
"2956",2957,"\"HD\"",0.27,0.01,1,0,"\"von neumann_r=1\"","true",1000,2483,0.36986301369863,0.9932
"2957",2956,"\"HD\"",0.27,0.01,1,0,"\"von neumann_r=1\"","true",1000,2488,0.36986301369863,0.9952
"2958",2958,"\"HD\"",0.27,0.01,1,0,"\"von neumann_r=1\"","true",1000,2490,0.36986301369863,0.996
"2959",2959,"\"HD\"",0.27,0.01,1,0,"\"von neumann_r=1\"","true",1000,2492,0.36986301369863,0.9968
"2960",2960,"\"HD\"",0.27,0.01,1,0,"\"von neumann_r=1\"","true",1000,2492,0.36986301369863,0.9968
"2981",2983,"\"HD\"",0.28,0.01,1,0,"\"von neumann_r=1\"","true",1000,2491,0.388888888888889,0.9964
"2982",2984,"\"HD\"",0.28,0.01,1,0,"\"von neumann_r=1\"","true",1000,2487,0.388888888888889,0.9948
"2983",2970,"\"HD\"",0.27,0.01,1,0,"\"moore_r=3\"","true",1000,1966,0.36986301369863,0.7864
"2984",2969,"\"HD\"",0.27,0.01,1,0,"\"moore_r=3\"","true",1000,1991,0.36986301369863,0.7964
"2985",2986,"\"HD\"",0.28,0.01,1,0,"\"von neumann_r=1\"","true",1000,2494,0.388888888888889,0.9976
"2986",2985,"\"HD\"",0.28,0.01,1,0,"\"von neumann_r=1\"","true",1000,2494,0.388888888888889,0.9976
"2987",2987,"\"HD\"",0.28,0.01,1,0,"\"von neumann_r=1\"","true",1000,2484,0.388888888888889,0.9936
"2988",2988,"\"HD\"",0.28,0.01,1,0,"\"von neumann_r=1\"","true",1000,2471,0.388888888888889,0.9884
"2989",2989,"\"HD\"",0.28,0.01,1,0,"\"von neumann_r=1\"","true",1000,2461,0.388888888888889,0.9844
"2990",2990,"\"HD\"",0.28,0.01,1,0,"\"von neumann_r=1\"","true",1000,2493,0.388888888888889,0.9972
"3011",2999,"\"HD\"",0.28,0.01,1,0,"\"moore_r=3\"","true",1000,1964,0.388888888888889,0.7856
"3012",3013,"\"HD\"",0.29,0.01,1,0,"\"von neumann_r=1\"","true",1000,2492,0.408450704225352,0.9968
"3013",3000,"\"HD\"",0.28,0.01,1,0,"\"moore_r=3\"","true",1000,1960,0.388888888888889,0.784
"3014",3015,"\"HD\"",0.29,0.01,1,0,"\"von neumann_r=1\"","true",1000,2490,0.408450704225352,0.996
"3015",3014,"\"HD\"",0.29,0.01,1,0,"\"von neumann_r=1\"","true",1000,2486,0.408450704225352,0.9944
"3016",3016,"\"HD\"",0.29,0.01,1,0,"\"von neumann_r=1\"","true",1000,2484,0.408450704225352,0.9936
"3017",3018,"\"HD\"",0.29,0.01,1,0,"\"von neumann_r=1\"","true",1000,2479,0.408450704225352,0.9916
"3018",3017,"\"HD\"",0.29,0.01,1,0,"\"von neumann_r=1\"","true",1000,2488,0.408450704225352,0.9952
"3019",3019,"\"HD\"",0.29,0.01,1,0,"\"von neumann_r=1\"","true",1000,2485,0.408450704225352,0.994
"3020",3020,"\"HD\"",0.29,0.01,1,0,"\"von neumann_r=1\"","true",1000,2489,0.408450704225352,0.9956
"3041",3042,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2488,0.428571428571429,0.9952
"3042",3030,"\"HD\"",0.29,0.01,1,0,"\"moore_r=3\"","true",1000,1928,0.408450704225352,0.7712
"3043",3043,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2477,0.428571428571429,0.9908
"3044",3044,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2463,0.428571428571429,0.9852
"3045",3045,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2489,0.428571428571429,0.9956
"3046",3046,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2470,0.428571428571429,0.988
"3047",3048,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2480,0.428571428571429,0.992
"3048",3049,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2482,0.428571428571429,0.9928
