"x","C","color","p1","x","D","color","p2"
"234","0.6948","105","true","234","0.3052","15","true"
"235","0.7008","105","true","235","0.2992","15","true"
"236","0.7192","105","true","236","0.2808","15","true"
"237","0.6972","105","true","237","0.3028","15","true"
"238","0.6844","105","true","238","0.3156","15","true"
"239","0.7068","105","true","239","0.2932","15","true"
"240","0.6884","105","true","240","0.3116","15","true"
"241","0.702","105","true","241","0.298","15","true"
"242","0.714","105","true","242","0.286","15","true"
"243","0.7204","105","true","243","0.2796","15","true"
"244","0.684","105","true","244","0.316","15","true"
"245","0.694","105","true","245","0.306","15","true"
"246","0.6944","105","true","246","0.3056","15","true"
"247","0.6972","105","true","247","0.3028","15","true"
"248","0.706","105","true","248","0.294","15","true"
"249","0.7028","105","true","249","0.2972","15","true"
"250","0.6988","105","true","250","0.3012","15","true"
"251","0.688","105","true","251","0.312","15","true"
"252","0.6856","105","true","252","0.3144","15","true"
"253","0.6892","105","true","253","0.3108","15","true"
"254","0.7048","105","true","254","0.2952","15","true"
"255","0.6832","105","true","255","0.3168","15","true"
"256","0.696","105","true","256","0.304","15","true"
"257","0.7192","105","true","257","0.2808","15","true"
"258","0.6992","105","true","258","0.3008","15","true"
"259","0.6992","105","true","259","0.3008","15","true"
"260","0.7108","105","true","260","0.2892","15","true"
"261","0.7084","105","true","261","0.2916","15","true"
"262","0.702","105","true","262","0.298","15","true"
"263","0.6968","105","true","263","0.3032","15","true"
"264","0.6848","105","true","264","0.3152","15","true"
"265","0.7008","105","true","265","0.2992","15","true"
"266","0.7044","105","true","266","0.2956","15","true"
"267","0.6872","105","true","267","0.3128","15","true"
"268","0.6988","105","true","268","0.3012","15","true"
"269","0.7076","105","true","269","0.2924","15","true"
"270","0.7028","105","true","270","0.2972","15","true"
"271","0.69","105","true","271","0.31","15","true"
"272","0.7056","105","true","272","0.2944","15","true"
"273","0.6916","105","true","273","0.3084","15","true"
"274","0.706","105","true","274","0.294","15","true"
"275","0.7008","105","true","275","0.2992","15","true"
"276","0.6992","105","true","276","0.3008","15","true"
"277","0.6828","105","true","277","0.3172","15","true"
"278","0.72","105","true","278","0.28","15","true"
"279","0.6976","105","true","279","0.3024","15","true"
"280","0.686","105","true","280","0.314","15","true"
"281","0.6928","105","true","281","0.3072","15","true"
"282","0.7012","105","true","282","0.2988","15","true"
"283","0.7096","105","true","283","0.2904","15","true"
"284","0.694","105","true","284","0.306","15","true"
"285","0.7004","105","true","285","0.2996","15","true"
"286","0.6868","105","true","286","0.3132","15","true"
"287","0.7148","105","true","287","0.2852","15","true"
"288","0.7164","105","true","288","0.2836","15","true"
"289","0.6988","105","true","289","0.3012","15","true"
"290","0.6996","105","true","290","0.3004","15","true"
"291","0.7072","105","true","291","0.2928","15","true"
"292","0.702","105","true","292","0.298","15","true"
"293","0.7056","105","true","293","0.2944","15","true"
"294","0.6972","105","true","294","0.3028","15","true"
"295","0.6868","105","true","295","0.3132","15","true"
"296","0.7144","105","true","296","0.2856","15","true"
"297","0.704","105","true","297","0.296","15","true"
"298","0.7028","105","true","298","0.2972","15","true"
"299","0.6976","105","true","299","0.3024","15","true"
"300","0.6964","105","true","300","0.3036","15","true"
"301","0.7","105","true","301","0.3","15","true"
"302","0.6908","105","true","302","0.3092","15","true"
"303","0.7072","105","true","303","0.2928","15","true"
"304","0.694","105","true","304","0.306","15","true"
"305","0.6968","105","true","305","0.3032","15","true"
"306","0.68","105","true","306","0.32","15","true"
"307","0.6828","105","true","307","0.3172","15","true"
"308","0.6996","105","true","308","0.3004","15","true"
"309","0.6908","105","true","309","0.3092","15","true"
"310","0.71","105","true","310","0.29","15","true"
"311","0.7172","105","true","311","0.2828","15","true"
"312","0.6924","105","true","312","0.3076","15","true"
"313","0.68","105","true","313","0.32","15","true"
"314","0.708","105","true","314","0.292","15","true"
"315","0.7072","105","true","315","0.2928","15","true"
"316","0.7052","105","true","316","0.2948","15","true"
"317","0.6948","105","true","317","0.3052","15","true"
"318","0.7076","105","true","318","0.2924","15","true"
"319","0.6892","105","true","319","0.3108","15","true"
"320","0.678","105","true","320","0.322","15","true"
"321","0.7188","105","true","321","0.2812","15","true"
"322","0.7024","105","true","322","0.2976","15","true"
"323","0.678","105","true","323","0.322","15","true"
"324","0.7096","105","true","324","0.2904","15","true"
"325","0.7016","105","true","325","0.2984","15","true"
"326","0.6904","105","true","326","0.3096","15","true"
"327","0.706","105","true","327","0.294","15","true"
"328","0.6972","105","true","328","0.3028","15","true"
"329","0.6928","105","true","329","0.3072","15","true"
"330","0.6932","105","true","330","0.3068","15","true"
"331","0.6756","105","true","331","0.3244","15","true"
"332","0.6948","105","true","332","0.3052","15","true"
"333","0.6944","105","true","333","0.3056","15","true"
"334","0.7044","105","true","334","0.2956","15","true"
"335","0.6988","105","true","335","0.3012","15","true"
"336","0.6948","105","true","336","0.3052","15","true"
"337","0.706","105","true","337","0.294","15","true"
"338","0.6964","105","true","338","0.3036","15","true"
"339","0.6976","105","true","339","0.3024","15","true"
"340","0.7164","105","true","340","0.2836","15","true"
"341","0.6944","105","true","341","0.3056","15","true"
"342","0.6888","105","true","342","0.3112","15","true"
"343","0.7148","105","true","343","0.2852","15","true"
"344","0.7144","105","true","344","0.2856","15","true"
"345","0.6992","105","true","345","0.3008","15","true"
"346","0.6916","105","true","346","0.3084","15","true"
"347","0.6848","105","true","347","0.3152","15","true"
"348","0.6936","105","true","348","0.3064","15","true"
"349","0.694","105","true","349","0.306","15","true"
"350","0.694","105","true","350","0.306","15","true"
"351","0.6804","105","true","351","0.3196","15","true"
"352","0.6964","105","true","352","0.3036","15","true"
"353","0.6844","105","true","353","0.3156","15","true"
"354","0.7152","105","true","354","0.2848","15","true"
"355","0.6856","105","true","355","0.3144","15","true"
"356","0.7072","105","true","356","0.2928","15","true"
"357","0.7012","105","true","357","0.2988","15","true"
"358","0.694","105","true","358","0.306","15","true"
"359","0.69","105","true","359","0.31","15","true"
"360","0.7004","105","true","360","0.2996","15","true"
"361","0.6952","105","true","361","0.3048","15","true"
"362","0.7088","105","true","362","0.2912","15","true"
"363","0.69","105","true","363","0.31","15","true"
"364","0.7156","105","true","364","0.2844","15","true"
"365","0.6904","105","true","365","0.3096","15","true"
"366","0.7132","105","true","366","0.2868","15","true"
"367","0.6964","105","true","367","0.3036","15","true"
"368","0.6944","105","true","368","0.3056","15","true"
"369","0.6856","105","true","369","0.3144","15","true"
"370","0.6896","105","true","370","0.3104","15","true"
"371","0.69","105","true","371","0.31","15","true"
"372","0.7008","105","true","372","0.2992","15","true"
"373","0.7016","105","true","373","0.2984","15","true"
"374","0.69","105","true","374","0.31","15","true"
"375","0.6888","105","true","375","0.3112","15","true"
"376","0.6944","105","true","376","0.3056","15","true"
"377","0.7016","105","true","377","0.2984","15","true"
"378","0.6936","105","true","378","0.3064","15","true"
"379","0.702","105","true","379","0.298","15","true"
"380","0.688","105","true","380","0.312","15","true"
"381","0.69","105","true","381","0.31","15","true"
"382","0.7144","105","true","382","0.2856","15","true"
"383","0.69","105","true","383","0.31","15","true"
"384","0.7084","105","true","384","0.2916","15","true"
"385","0.6836","105","true","385","0.3164","15","true"
"386","0.6828","105","true","386","0.3172","15","true"
"387","0.7028","105","true","387","0.2972","15","true"
"388","0.7","105","true","388","0.3","15","true"
"389","0.6928","105","true","389","0.3072","15","true"
"390","0.7008","105","true","390","0.2992","15","true"
"391","0.7064","105","true","391","0.2936","15","true"
"392","0.7008","105","true","392","0.2992","15","true"
"393","0.6972","105","true","393","0.3028","15","true"
"394","0.7064","105","true","394","0.2936","15","true"
"395","0.7016","105","true","395","0.2984","15","true"
"396","0.6836","105","true","396","0.3164","15","true"
"397","0.7096","105","true","397","0.2904","15","true"
"398","0.7044","105","true","398","0.2956","15","true"
"399","0.7168","105","true","399","0.2832","15","true"
"400","0.694","105","true","400","0.306","15","true"
"401","0.7004","105","true","401","0.2996","15","true"
"402","0.6988","105","true","402","0.3012","15","true"
"403","0.6964","105","true","403","0.3036","15","true"
"404","0.6792","105","true","404","0.3208","15","true"
"405","0.6872","105","true","405","0.3128","15","true"
"406","0.6964","105","true","406","0.3036","15","true"
"407","0.6952","105","true","407","0.3048","15","true"
"408","0.6724","105","true","408","0.3276","15","true"
"409","0.6892","105","true","409","0.3108","15","true"
"410","0.7164","105","true","410","0.2836","15","true"
"411","0.7004","105","true","411","0.2996","15","true"
"412","0.7064","105","true","412","0.2936","15","true"
"413","0.6992","105","true","413","0.3008","15","true"
"414","0.6924","105","true","414","0.3076","15","true"
"415","0.7036","105","true","415","0.2964","15","true"
"416","0.6864","105","true","416","0.3136","15","true"
"417","0.6872","105","true","417","0.3128","15","true"
"418","0.6792","105","true","418","0.3208","15","true"
"419","0.6996","105","true","419","0.3004","15","true"
"420","0.7012","105","true","420","0.2988","15","true"
"421","0.6984","105","true","421","0.3016","15","true"
"422","0.7","105","true","422","0.3","15","true"
"423","0.6952","105","true","423","0.3048","15","true"
"424","0.7072","105","true","424","0.2928","15","true"
"425","0.6952","105","true","425","0.3048","15","true"
"426","0.6996","105","true","426","0.3004","15","true"
"427","0.7068","105","true","427","0.2932","15","true"
"428","0.6936","105","true","428","0.3064","15","true"
"429","0.6976","105","true","429","0.3024","15","true"
"430","0.6908","105","true","430","0.3092","15","true"
"431","0.6972","105","true","431","0.3028","15","true"
"432","0.6916","105","true","432","0.3084","15","true"
"433","0.7048","105","true","433","0.2952","15","true"
"434","0.6988","105","true","434","0.3012","15","true"
"435","0.6896","105","true","435","0.3104","15","true"
"436","0.6996","105","true","436","0.3004","15","true"
"437","0.7012","105","true","437","0.2988","15","true"
"438","0.6908","105","true","438","0.3092","15","true"
"439","0.6944","105","true","439","0.3056","15","true"
"440","0.6888","105","true","440","0.3112","15","true"
"441","0.7036","105","true","441","0.2964","15","true"
"442","0.6984","105","true","442","0.3016","15","true"
"443","0.6904","105","true","443","0.3096","15","true"
"444","0.7108","105","true","444","0.2892","15","true"
"445","0.7016","105","true","445","0.2984","15","true"
"446","0.6908","105","true","446","0.3092","15","true"
"447","0.7092","105","true","447","0.2908","15","true"
"448","0.7028","105","true","448","0.2972","15","true"
"449","0.6864","105","true","449","0.3136","15","true"
"450","0.6964","105","true","450","0.3036","15","true"
"451","0.694","105","true","451","0.306","15","true"
"452","0.7028","105","true","452","0.2972","15","true"
"453","0.6968","105","true","453","0.3032","15","true"
"454","0.7056","105","true","454","0.2944","15","true"
"455","0.7028","105","true","455","0.2972","15","true"
"456","0.7032","105","true","456","0.2968","15","true"
"457","0.6936","105","true","457","0.3064","15","true"
"458","0.6836","105","true","458","0.3164","15","true"
"459","0.6812","105","true","459","0.3188","15","true"
"460","0.7004","105","true","460","0.2996","15","true"
"461","0.69","105","true","461","0.31","15","true"
"462","0.692","105","true","462","0.308","15","true"
"463","0.69","105","true","463","0.31","15","true"
"464","0.6932","105","true","464","0.3068","15","true"
"465","0.7096","105","true","465","0.2904","15","true"
"466","0.708","105","true","466","0.292","15","true"
"467","0.7","105","true","467","0.3","15","true"
"468","0.6948","105","true","468","0.3052","15","true"
"469","0.7092","105","true","469","0.2908","15","true"
"470","0.7044","105","true","470","0.2956","15","true"
"471","0.6972","105","true","471","0.3028","15","true"
"472","0.7012","105","true","472","0.2988","15","true"
"473","0.7112","105","true","473","0.2888","15","true"
"474","0.704","105","true","474","0.296","15","true"
"475","0.698","105","true","475","0.302","15","true"
"476","0.6884","105","true","476","0.3116","15","true"
"477","0.6832","105","true","477","0.3168","15","true"
"478","0.6872","105","true","478","0.3128","15","true"
"479","0.6992","105","true","479","0.3008","15","true"
"480","0.6828","105","true","480","0.3172","15","true"
"481","0.6864","105","true","481","0.3136","15","true"
"482","0.7024","105","true","482","0.2976","15","true"
"483","0.688","105","true","483","0.312","15","true"
